City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,tamanrasset,22.785,5.5228,24.95,13,0,5.14,DZ,1712796559
280,la'ie,21.6477,-157.9253,27.66,75,94,4.92,US,1712796380
281,la grande,45.3246,-118.0877,16.66,30,45,1.27,US,1712796487
282,nuuk,64.1835,-51.7216,-2.66,86,100,0.51,GL,1712796540
283,edd,13.9297,41.6925,27.4,83,6,2.49,ER,1712796560
284,cascais,38.6979,-9.4215,18.36,58,100,4.47,PT,1712796381
285,annaba,36.9,7.7667,10.98,87,40,2.06,DZ,1712796561
286,la passe,45.5549,-0.8967,12.21,79,100,1.1,FR,1712796384
287,lerwick,60.1545,-1.1494,9.0,93,100,11.91,GB,1712796561
288,malpica,43.3228,-8.8105,11.85,60,100,1.75,ES,1712796562
289,raja,8.4596,25.678,25.64,20,44,0.58,SS,1712796562
290,kudahuvadhoo,2.6708,72.8944,29.57,67,51,3.09,MV,1712796562
291,lorrach,47.615,7.6646,7.35,78,0,1.03,DE,1712796357
292,nova sintra,14.8667,-24.7167,22.53,77,6,9.23,CV,1712796406
293,mazagao,-0.115,-51.2894,29.03,95,64,1.58,BR,1712796563
294,pearsall,28.8922,-99.095,27.66,39,0,8.87,US,1712796326
295,carnarvon,-24.8667,113.6333,26.03,49,10,9.04,AU,1712796564
296,broome,42.2506,-75.833,14.83,89,100,1.54,US,1712796564
297,woolgoolga,-30.1106,153.2007,23.93,56,2,7.87,AU,1712796565
298,plastun,44.7561,136.2939,10.57,34,100,1.88,RU,1712796565
299,kristiansund,63.1115,7.732,4.36,81,12,1.03,NO,1712796566
300,coos bay,43.3665,-124.2179,16.84,71,0,7.72,US,1712796446
301,panaba,21.2833,-88.2667,28.96,58,15,6.43,MX,1712796566
302,suomussalmi,64.8869,28.9078,3.34,97,100,6.6,FI,1712796567
303,timimoun,29.2639,0.231,21.21,13,0,3.6,DZ,1712796567
304,ungsang-nodongjagu,42.3578,130.4622,4.99,84,100,1.93,KP,1712796568
305,kavaratti,10.5669,72.642,28.77,71,100,3.75,IN,1712796568
306,roma,43.2128,-75.4557,14.82,92,100,1.54,US,1712796568
307,ishikari,43.2397,141.3539,11.04,46,92,4.12,JP,1712796569
308,zuni pueblo,35.0725,-108.8506,18.35,19,0,7.96,US,1712796569
309,stanley,54.868,-1.6985,13.01,88,75,5.66,GB,1712796569
310,minas de marcona,-15.2119,-75.1103,17.53,83,100,5.49,PE,1712796570
311,leisure city,25.4954,-80.4292,25.57,79,20,5.14,US,1712796570
312,priozersk,61.0393,30.1291,6.72,82,11,8.33,RU,1712796571
313,westport,41.1415,-73.3579,14.22,85,100,5.14,US,1712796320
314,port lincoln,-34.7333,135.8667,16.48,63,96,3.6,AU,1712796571
315,aksu,41.1231,80.2644,13.91,24,0,2.6,CN,1712796572
316,markala,13.7021,-6.0659,33.17,30,100,3.69,ML,1712796572
317,jindabyne,-36.4167,148.6333,14.44,49,1,2.17,AU,1712796311
318,ironwood,46.4547,-90.171,16.45,29,20,3.6,US,1712796573
319,kurchum,48.5722,83.6542,5.23,96,100,2.63,KZ,1712796574
320,salur,18.5333,83.2167,26.55,58,9,0.74,IN,1712796574
321,bandarbeyla,9.4942,50.8122,27.15,77,26,2.9,SO,1712796574
322,ciudad bolivar,8.1222,-63.5497,31.77,42,95,7.64,VE,1712796575
323,tionk essil,12.7856,-16.5217,22.03,76,0,3.55,SN,1712796575
324,pemangkat,1.1667,108.9667,27.09,83,8,2.87,ID,1712796576
325,karratha,-20.7377,116.8463,28.16,49,7,6.63,AU,1712796576
326,severo-yeniseyskiy,60.3725,93.0408,-14.68,85,94,1.79,RU,1712796577
327,dunedin,-45.8742,170.5036,12.67,97,100,4.92,NZ,1712796577
328,bom jesus,-9.0744,-44.3586,26.47,65,62,0.83,BR,1712796577
329,dul'durga,50.6761,113.5931,9.77,67,17,1.47,RU,1712796578
330,gamay,12.3854,125.2979,28.31,72,100,3.51,PH,1712796578
331,tsengel,49.4783,100.8894,5.28,38,11,1.53,MN,1712796579
332,floro,61.5996,5.0328,5.98,75,100,6.69,NO,1712796579
333,djenne,13.9061,-4.5533,32.54,33,96,3.68,ML,1712796579
334,atherton,53.5237,-2.4935,13.19,92,90,0.45,GB,1712796288
335,wad medani,14.4012,33.5199,26.51,12,3,4.39,SD,1712796581
336,laguna,38.421,-121.4238,26.99,40,0,3.09,US,1712796230
337,constantia,44.1833,28.65,10.39,60,0,3.65,RO,1712796581
338,kalianget,-7.05,113.9333,28.87,75,100,1.08,ID,1712796582
339,nizhniy odes,63.6445,54.856,-3.32,99,100,2.61,RU,1712796582
340,rangia,26.4667,91.6333,21.97,39,79,5.65,IN,1712796583
341,al ghayzah,16.2079,52.176,25.9,75,12,3.09,YE,1712796583
342,aliwal north,-30.6937,26.7114,9.5,75,14,6.42,ZA,1712796583
343,baikonur,45.6167,63.3167,12.65,51,39,2.92,KZ,1712796584
344,el granada,37.5027,-122.4694,26.4,68,0,7.2,US,1712796584
345,singkil,-7.9855,111.4161,27.74,80,53,0.32,ID,1712796584
346,saudarkrokur,65.7461,-19.6394,-2.73,84,100,2.66,IS,1712796586
347,tacuarembo,-31.7333,-55.9833,14.94,76,100,6.05,UY,1712796587
348,yonggwang-up,40.0183,127.4547,12.75,58,100,1.3,KP,1712796587
349,piraquara,-25.4417,-49.0633,20.16,64,20,2.06,BR,1712796429
350,katsuura,35.1333,140.3,16.01,60,92,4.3,JP,1712796589
351,constitucion,-35.3333,-72.4167,10.42,78,3,1.82,CL,1712796452
352,villa gesell,-37.2639,-56.973,13.92,54,100,7.07,AR,1712796293
353,canonsburg,40.2626,-80.1873,16.27,92,100,0.0,US,1712796533
354,pont rouge,48.8833,-72.0825,6.06,77,100,5.38,CA,1712796590
355,dolbeau-mistassini,48.8763,-72.212,6.26,80,100,4.83,CA,1712796591
356,prince rupert,54.3161,-130.3201,7.83,95,100,12.35,CA,1712796591
357,morehead city,34.7229,-76.726,19.45,82,0,3.13,US,1712796392
358,beyneu,45.3167,55.2,16.55,45,46,3.14,KZ,1712796592
359,walvis bay,-22.9575,14.5053,13.53,94,0,2.06,NA,1712796592
360,colonia,50.9333,6.95,9.9,73,0,1.03,DE,1712796592
361,edea,3.8,10.1333,25.16,98,100,1.85,CM,1712796593
362,turochak,52.2576,87.1224,3.03,99,100,1.36,RU,1712796593
363,new norfolk,-42.7826,147.0587,17.06,47,35,1.12,AU,1712796594
364,bishkek,42.87,74.59,4.11,59,77,1.27,KG,1712796594
365,asikkala,61.2167,25.5,5.03,84,100,8.63,FI,1712796595
366,touros,-5.1989,-35.4608,26.18,86,89,1.55,BR,1712796595
